Epoch,Float16,Float32,Float32SR,Float64
1,0.866866648,0.878350019,0.891133308,0.878233314
2,0.882399976,0.900466681,0.884966671,0.900066674
3,0.912633359,0.909266651,0.892566621,0.908283353
4,0.898433328,0.914233327,0.921033323,0.919066668
5,0.921383321,0.926016688,0.920866668,0.919550002
6,0.925083339,0.923033357,0.923733354,0.92385
7,0.923583329,0.933499992,0.937900007,0.932933331
8,0.939383328,0.934833348,0.939716697,0.934983313
9,0.936633348,0.931200027,0.937416673,0.940316677
10,0.941333354,0.944133341,0.931450009,0.939583361
