Epoch,Float16,Float32,Float32SR,Float64
1,2.68218255,2.337212563,2.126429558,2.266510248
2,1.081165075,0.882022142,0.994851351,0.829338551
3,0.511158347,0.514827132,0.616757333,0.517514944
4,0.571954012,0.415147036,0.387410104,0.388542295
5,0.349542767,0.32705,0.351932168,0.358631939
6,0.316463977,0.319142461,0.323704123,0.337028444
7,0.326870054,0.265358418,0.259298772,0.282506645
8,0.244134262,0.27248773,0.243807077,0.259110123
9,0.244332969,0.288248122,0.262468219,0.238380641
10,0.230246708,0.219959691,0.268081337,0.238629803
